project_id_number,title,funding_start_year,funding_end_year,institution_id,institution_name,duration,subject
5083726,Die paläolithische Besiedlungsgeschichte Süddeutschlands als klimagekoppelter Prozeß (C 8),1998,2001,10051,Eberhard Karls Universität Tübingen,4,
5089804,Bedeutung nicht enzymatisch glykierter Proteine für entzündliche Darmerkrankungen (B 3),1998,2001,10051,Eberhard Karls Universität Tübingen,4,
5152526,Diskrete Differentialformen und Berechnung elektromagnetischer Felder (C10),1998,2003,10051,Eberhard Karls Universität Tübingen,6,
5156450,Particle-in-Cell-Monte-Carlo-Teilchensimulationen (A 9),1999,2000,10051,Eberhard Karls Universität Tübingen,2,
5167588,Gott im Krieg. Zum Wandel religiöser Plausibilitäten um 17OO und zwischen 1900 und 1950 (G 01),1999,2008,10051,Eberhard Karls Universität Tübingen,10,
5167606,Jüdische Geschichtsdeutungen in Chroniken und der liturgischen Literatur aus der Zeit der Verfolgungen unter Bohdan Chmel nyc kyj (1648/49) (G 02),1999,2005,10051,Eberhard Karls Universität Tübingen,7,
5167612,Permanente Kriegserfahrung: Raumkonstruktion und Lebensformen in der Österreichischen Militärgrenze als Ergebnis von Kriegserfahrungen (B 03),1999,2005,10051,Eberhard Karls Universität Tübingen,7,
5167618,"Neusiedler im verheerten Land - Kriegsfolgenbewältigung, Wiederaufbau und Migration in der Mark Brandenburg und in Baden nach den Kriegen des 17. Jahrhunderts (B 4)",1999,2001,10051,Eberhard Karls Universität Tübingen,3,
5167638,"Krieg als Nationsbildner? - Kriegserfahrung, Entstehung und Umdeutung moderner Nationen (C 01)",1999,2008,10051,Eberhard Karls Universität Tübingen,10,
5167644,Training für den Krieg (C 04),1999,2008,10051,Eberhard Karls Universität Tübingen,10,
5167650,Nationale Desintegration und Integration als Folgen des Ersten Weltkrieges (C 5),1999,2001,10051,Eberhard Karls Universität Tübingen,3,
5167656,Das symbolische Archiv der Medialisierung (D 4),1999,2004,10051,Eberhard Karls Universität Tübingen,6,
5167662,Konstruktion der Erfahrungen des Ersten Weltkriegs wischen Moderne und Tradition (D 05),1999,2008,10051,Eberhard Karls Universität Tübingen,10,
5167694,Medien und Künste (D 6),1999,2001,10051,Eberhard Karls Universität Tübingen,3,
5167700,Kriegserfahrungen und Humanwissenschaften (E 3),1999,2004,10051,Eberhard Karls Universität Tübingen,6,
5167706,Technische Großprojekte (E 4),1999,2004,10051,Eberhard Karls Universität Tübingen,6,
5167712,Zentrale Geschäftsstelle (Z),1999,2008,10051,Eberhard Karls Universität Tübingen,10,
5167718,Repräsentation und Erschließung linguistischer Daten (A 01),1999,2008,10051,Eberhard Karls Universität Tübingen,10,
5167731,Linguistische Beschreibungsstrukturen als Datentypen (A 02),1999,2008,10051,Eberhard Karls Universität Tübingen,10,
5167744,Suboptimale syntaktische Strukturen (A 03),1999,2008,10051,Eberhard Karls Universität Tübingen,10,
5167750,Korpusbasierte Untersuchung von Anrede und Höflichkeit in den slavischen Sprachen (B 1),1999,2004,10051,Eberhard Karls Universität Tübingen,6,
5167756,Universale und typologische Aspekte der Polarität (B 2),1999,2001,10051,Eberhard Karls Universität Tübingen,3,
5167770,Verarbeitung und Erwerb koordinierender Strukturen im Deutschen (B 03),1999,2008,10051,Eberhard Karls Universität Tübingen,10,
5167788,Informationsstruktur: formale Theorien und Experimente (B 5),1999,2002,10051,Eberhard Karls Universität Tübingen,4,
5167794,"LexiTypeSyn - Lexikalische Motivation im Französischen, Italienischen und Deutschen (B 06)",1999,2008,10051,Eberhard Karls Universität Tübingen,10,
5167800,Korpusbasierte Untersuchung der v/t/n-Deiktika im Bosnischen/Kroatischen/Serbischen in (spontan) gesprochener und (reflektiert) geschriebener Sprache. Exophorisch vs. endophorisch (B 8),1999,2002,10051,Eberhard Karls Universität Tübingen,4,
5167806,Lokale und temporale Deixis in den romanischen Sprachen - Geschichte und Variation (B 9),1999,2004,10051,Eberhard Karls Universität Tübingen,6,
5167812,Typologie und logische Form der Satznegation (B10),1999,2008,10051,Eberhard Karls Universität Tübingen,10,
5167818,Zentrale Aufgaben für den SFB (Z),1999,2008,10051,Eberhard Karls Universität Tübingen,10,
5175296,Linguistische Datenstrukturen: Sprachübergreifende Annotationen und Datenklassen (C),2000,2001,10051,Eberhard Karls Universität Tübingen,2,
5185378,Parellelisierung von R-Matrix-Verfahren (C11),1999,2000,10051,Eberhard Karls Universität Tübingen,2,
5212008,Axonale Lenkung in vitro und in vivo (B12),2000,2002,10051,Eberhard Karls Universität Tübingen,3,
