source,target,value
252001,251997,1
252001,1326938,1
252001,1348751,1
252001,1377320,1
252001,1730538,1
252001,1779193,1
252001,230407454,1
252001,248870507,1
252167,259015,1
252167,259025,1
252167,259031,1
252167,1088669,1
252167,1254132,1
252167,1306306,1
252167,1585909,1
252196,260005,1
252196,1002572,1
252196,1095990,1
252196,1780151,1
252196,32459666,1
252366,1448828,1
252366,1477749,1
252366,1547921,1
252366,1697112,1
252366,1735509,1
252366,15560443,1
252366,32725135,1
252366,215731705,1
252402,6470,1
252402,257741,2
252402,1206750,1
252402,1242158,1
252474,1394302,1
252674,252676,1
252674,252680,1
252674,252895,1
252674,259354,1
252674,259966,1
252674,380864,1
252674,380867,1
252674,1020290,1
252674,1063694,1
252674,1169973,1
252674,1206173,1
252674,1250785,1
252674,1334264,1
252674,1629658,1
252674,1766287,1
252680,252676,1
252680,1020290,1
252680,1206173,1
252680,1766287,1
252728,1151243,1
252728,1251684,1
252775,252773,1
252775,1040170,1
252775,1053252,1
252775,1128810,1
252775,1138083,1
252775,1170711,1
252775,1190384,1
252889,1130498,1
252889,1460392,1
252889,1710030,1
252889,196172814,1
252895,380864,1
252895,1629658,1
253021,6638,1
253021,253027,1
253021,1411750,1
253021,1621546,1
253027,6638,1
253027,1411750,1
253027,1621546,1
253141,1170731,1
253189,1005783,1
253189,1033408,1
253189,1341075,1
253189,1377997,1
253189,1462953,1
253191,253189,1
253191,260586,1
253191,1005783,1
253191,1033408,1
253191,1203168,1
253191,1341075,1
253191,1377997,1
253191,1381453,1
253191,1462953,1
253225,45626312,1
253229,1334154,1
253229,1623307,1
253229,1875172,1
253229,54678165,1
253229,54678336,1
253229,202328493,1
253229,203261727,1
253283,1343169,2
253283,1380712,1
253283,1459510,1
253283,1597692,1
253283,1598956,1
253283,1803931,1
253283,1824713,1
253283,45564104,1
253283,71615755,1
253283,93857470,1
253283,223309510,1
253305,5789,1
253305,1265088,1
253305,1348987,1
253305,1463894,1
253313,5789,1
253313,253305,1
253313,1265088,1
253313,1348987,1
253313,1463894,1
253443,253445,1
253443,1045335,1
253443,1109695,1
253443,1169757,1
253443,1279786,1
253443,1347327,1
253443,1349825,1
253443,1404398,1
253443,1452229,1
253443,1461872,1
253443,1636644,1
253443,1652115,1
253443,1658425,1
253445,1045335,1
253445,1652115,1
253445,1658425,1
253481,253489,1
