project_id,subject_area,review_board,research_area
967893,Klassische Archäologie,Alte Kulturen,Geistes- und Sozialwissenschaften 
5472124,Klassische Archäologie,Alte Kulturen,Geistes- und Sozialwissenschaften 
5484782,Klassische Archäologie,Alte Kulturen,Geistes- und Sozialwissenschaften 
13880606,Klassische Archäologie,Alte Kulturen,Geistes- und Sozialwissenschaften 
39071778,Klassische Archäologie,Alte Kulturen,Geistes- und Sozialwissenschaften 
39235742,Klassische Archäologie,Alte Kulturen,Geistes- und Sozialwissenschaften 
94327977,Klassische Archäologie,Alte Kulturen,Geistes- und Sozialwissenschaften 
178035969,Klassische Archäologie,Alte Kulturen,Geistes- und Sozialwissenschaften 
181750155,Klassische Archäologie,Alte Kulturen,Geistes- und Sozialwissenschaften 
190376163,Klassische Archäologie,Alte Kulturen,Geistes- und Sozialwissenschaften 
198801704,Klassische Archäologie,Alte Kulturen,Geistes- und Sozialwissenschaften 
215342465,Klassische Archäologie,Alte Kulturen,Geistes- und Sozialwissenschaften 
215677325,Klassische Archäologie,Alte Kulturen,Geistes- und Sozialwissenschaften 
215859406,Klassische Archäologie,Alte Kulturen,Geistes- und Sozialwissenschaften 
222613918,Klassische Archäologie,Alte Kulturen,Geistes- und Sozialwissenschaften 
811503,Bioverfahrenstechnik,"Verfahrenstechnik, Technische Chemie",Ingenieurwissenschaften 
5484689,Bioverfahrenstechnik,"Verfahrenstechnik, Technische Chemie",Ingenieurwissenschaften 
33442432,Bioverfahrenstechnik,"Verfahrenstechnik, Technische Chemie",Ingenieurwissenschaften 
191948804,Bioverfahrenstechnik,"Verfahrenstechnik, Technische Chemie",Ingenieurwissenschaften 
950034,Verbundwerkstoffe,Werkstofftechnik,Ingenieurwissenschaften 
194654001,Verbundwerkstoffe,Werkstofftechnik,Ingenieurwissenschaften 
237091934,Verbundwerkstoffe,Werkstofftechnik,Ingenieurwissenschaften 
968025,Kognitive Neurowissenschaft,Neurowissenschaft,Lebenswissenschaften 
26108797,Kognitive Neurowissenschaft,Neurowissenschaft,Lebenswissenschaften 
5470296,Physische Geographie,Geographie,Naturwissenschaften 
5482364,Akustik,Mechanik und Konstruktiver Maschinenbau,Ingenieurwissenschaften 
14945932,Akustik,Mechanik und Konstruktiver Maschinenbau,Ingenieurwissenschaften 
174776315,Akustik,Mechanik und Konstruktiver Maschinenbau,Ingenieurwissenschaften 
194654335,Akustik,Mechanik und Konstruktiver Maschinenbau,Ingenieurwissenschaften 
197369429,Akustik,Mechanik und Konstruktiver Maschinenbau,Ingenieurwissenschaften 
5483454,Kunststofftechnik,Produktionstechnik,Ingenieurwissenschaften 
14413796,Kunststofftechnik,Produktionstechnik,Ingenieurwissenschaften 
14802874,Kunststofftechnik,Produktionstechnik,Ingenieurwissenschaften 
18776890,Kunststofftechnik,Produktionstechnik,Ingenieurwissenschaften 
33627655,Kunststofftechnik,Produktionstechnik,Ingenieurwissenschaften 
101721741,Kunststofftechnik,Produktionstechnik,Ingenieurwissenschaften 
138690629,Kunststofftechnik,Produktionstechnik,Ingenieurwissenschaften 
236616214,Kunststofftechnik,Produktionstechnik,Ingenieurwissenschaften 
237091934,Kunststofftechnik,Produktionstechnik,Ingenieurwissenschaften 
5484378,Technische Thermodynamik,"Wärmeenergietechnik, Thermische Maschinen, Strömungsmechanik",Ingenieurwissenschaften 
