source,target,value
1003884,6617,1
1004007,12469541,1
1004007,237716233,1
1004007,237716320,1
1004044,1286470,1
1004044,1293048,1
100410545,100369761,1
100410545,53469333,1
1004151,113479244,1
1004151,1177021,1
1004151,1289655,1
1004151,1331919,1
1004151,1363194,1
1004151,1413482,1
1004151,1424065,1
1004151,1436630,1
1004151,1492213,1
1004151,1585014,1
1004151,1617300,1
1004151,1625854,1
1004151,1648989,1
1004151,1792394,1
1004151,233861909,1
1004151,46938329,1
1004151,5453,1
1004151,991932,1
1004290,1245660,1
1004290,1424277,1
1004290,1485895,1
1004290,1664263,1
1004290,1692996,1
1004290,1721350,1
1004290,1798998,1
1004290,1868785,1
1004290,991954,1
1004309,115260648,2
1004309,1178856,1
1004309,1377544,1
1004309,1648196,2
1004309,2026073,1
1004309,238783882,2
1004309,251112968,1
1004309,288300456,1
1004309,454951,2
1004309,455056,2
1004309,455064,2
1004309,56481183,1
1004309,80401755,2
1004315,1723144,2
1004315,96748388,1
1004706,1066236,1
1004706,1071754,1
1004706,1193475,1
1004706,1245029,1
1004706,1426516,1
1004706,1635282,1
1004706,254620,1
1004706,258467,1
1004706,261928,1
1004706,6299,1
1004714,1487733,2
1004714,1644126,1
1004714,1824101,1
1004719,1237108,1
1004719,1293593,1
1004719,1353117,1
1004719,1394722,1
1004719,1443046,1
1004719,1446396,1
1004719,212751114,1
1004719,6289,1
100472350,1720039,1
1004728,1196104,1
1004728,1243162,1
1004728,1388837,1
1004728,1393640,2
1004728,1468203,1
1004728,1577895,1
1004728,1881001,1
1004728,215923880,1
1004728,219650923,1
1004728,36207997,1
1004728,99132553,1
100493117,1022795,1
100493117,1136401,1
100493117,1143532,1
100493117,1356358,1
100493117,1457727,1
100493117,1631827,1
100493117,179734240,1
100493117,22279851,1
100493385,1125636,1
100493385,1448416,1
100493385,1609001,1
100493385,172844729,1
100493385,1756089,1
100493385,1759567,1
100493385,1791038,1
100493385,1832501,1
1004955,1015990,1
1004955,1087189,1
1004955,122264739,1
1004955,1245743,1
1004955,1274148,1
1004955,1395848,1
1004955,1435053,1
1004955,1590791,1
1004955,1606836,1
1004955,1673646,1
1004955,1757924,1
1004955,1813102,1
1004955,233992038,1
1004955,233992080,1
1004955,52507386,1
1005181,1716728,1
1005289,1198546,1
1005289,1446475,1
1005289,1456421,3
1005289,153908634,1
1005289,1731242,1
1005289,1781225,1
1005289,22320888,2
1005289,270753817,1
1005361,1601417,1
1005361,1787191,1
1005406,1652693,1
1005462,1296462,3
1005462,1470420,3
1005462,1541968,1
1005462,1716572,1
1005462,1799960,1
1005462,218391644,4
1005462,235865935,2
1005533,1072398,1
1005533,1303501,1
1005533,1391540,1
1005533,1644101,1
1005533,1756566,1
1005533,1826368,1
1005533,1833357,1
1005533,1849778,1
1005533,29589859,1
1005533,774473,2
1005533,826704,1
1005628,1049468,1
1005628,1051144,1
1005628,1149820,1
1005628,1323159,1
1005628,1443296,1
1005628,1454127,1
1005628,1478306,1
1005628,1526856,1
1005628,1555320,1
1005628,1674206,1
1005628,1677377,1
1005628,1805220,1
1005628,21521438,1
1005661,1003884,1
1005661,1032347,1
1005661,1115202,1
1005661,1163262,1
1005661,1250437,1
1005661,1278440,1
1005661,1368956,1
1005661,1374586,1
1005661,1380107,1
1005661,1383870,1
1005661,1386192,1
1005661,1443426,1
1005661,1595169,1
1005661,1632574,3
1005661,1649026,1
1005661,1685936,1
1005661,1697587,1
1005661,171030941,1
1005661,1745141,1
1005661,1808199,1
1005661,1849184,1
1005661,1858344,1
1005661,1869530,1
1005661,193336373,1
1005661,6310,1
1005661,63485342,1
1005661,6617,1
1005769,5883,1
1005783,1033408,1
1005783,1129408,1
1005783,1203168,1
1005783,1341075,1
1005783,1377997,1
1005783,1381453,1
1005783,1460578,1
1005783,1462953,1
1005783,253189,1
1005783,253191,1
1005783,260586,1
1005801,1430400,1
1005801,2023573,1
1006129,1364288,1
1006129,1763801,1
1006851,1068072,1
1006851,1088318,1
1006851,1172609,1
1006851,1258304,1
1006851,1277785,1
1006851,1584009,1
1006851,1651155,1
1006851,1662187,1
1006851,1810260,1
1006851,261350,1
1006851,5362,1
1006859,1126962,1
1006859,1187492,1
1006859,1350634,1
1006859,1372726,1
1006859,1389911,1
1006859,1612348,1
1006859,261220,1
1006859,261222,1
1006859,817928,1
1006859,817941,1
1007039,1636614,1
1007039,278149109,1
1007176,1678802,1
1007500,1252803,1
1007500,1254646,1
1007500,1266844,1
1007500,1296541,1
1007500,1307516,1
1007500,1326649,1
1007500,1365153,1
1007500,1380403,1
1007500,1436785,1
1007500,5183,1
100758587,1709554,1
100758587,6952,1
1007587,1056677,1
1007587,1195337,1
1007587,1361136,1
1007587,1362896,1
1007587,1604334,1
1007587,1743559,2
1007679,1321051,4
1007679,1390818,4
1007729,1664707,1
1007791,1088939,1
1007791,1125004,1
1007791,1149126,1
1007791,1200083,1
1007791,1290616,1
1007791,1379113,1
1007791,1395406,1
1007791,1481443,1
1007791,1548777,1
1007791,1613142,1
1007791,1619071,1
1007791,1663737,1
1007791,1705535,1
1007791,1748543,1
1007791,1749720,1
1007791,1761643,1
1007791,1861765,1
1007791,258691,1
1007791,258697,1
1007835,1098134,1
1007835,1422564,1
1007835,1672374,1
1008168,1253202,1
1008168,1269510,1
1008168,1687097,1
100820086,100820115,1
100820086,1011652,1
100820086,136068865,1
100820086,1726731,1
100820086,31864952,1
100820115,100820086,1
100820115,1011652,1
100820115,136068865,1
100820115,1726731,1
100820115,31864952,1
100820596,1037329,1
100820596,1060269,1
100820596,1080917,1
